Book Name	Write Name 	Book Id 	Borrow Count	Price
Shimul tolir Jangal bari           	Masudul Hasan Shaon     	11-0611-100631	4	315
Shishu kishor	Amirul Islam	11-0611-100632	3	176
Voy pawano voot petnir golpo 	Shisu Academy	11-0611-100633	0	195
Sera voot er golpo	Jamir Uddin Ahmed	11-0611-100634	5	225
Chotoder jiboni golpo	Shisu Academy	11-0611-100635	8	185
Voot er rajkumari	Hamid Mahbub	11-0611-100636	7	165
Aa cho aa cho cho	Sunil Gango Paddahay	11-0611-100637	2	170
Pakhi utsob rate	Salam Sarkar 	11-0611-100638	4	130
Sundorer Dhaan	Jafar Ahmed Chowdhury	11-0611-100639	3	240
Chondro Mukhi	Md. Azharul Islam	11-0611-100640	0	215
Durbinit	Ali Baker Jiko	11-0611-100641	2	260
Jol Probahe Podo Chinho	Yousuf Muhammad	11-0611-100642	1	245
Nisshase Bisshash	Ferdous Salam	11-0611-100643	3	315
Chandokol_3	Mahjabeen Mimi	11-0611-100644	2	170
Sunirmito Bonobash_5	Mahjabeen Mimi	11-0611-100645	1	160
Medhabi chattro howar kousol	Professor Md. Shahidullah	33-0810-100466	6	225
Kori nama	Md. Abdul Manan	33-0810-100467	4	180
Jiboner Jonno Sekha_1	Sayedul Arefin	33-0810-100468	4	205
Jiboner Jonno Sekha_2	Sayedul Arefin	33-0810-100469	2	205
Jiboner Jonno Sekha_3	Sayedul Arefin	33-0810-100470	0	205
Jiboner Jonno Sekha_4	Sayedul Arefin	33-0810-100471	0	175
Introduction to Computers_1	Peter Norton	16-0810-100472	5	215
Office 97/2000	Mahbubur Rahman	16-0810-100473	3	165
Windows 98/2000	Mahbubur Rahman	16-0810-100474	1	175
Introduction to Computers_2	Peter Norton	16-0810-100475	2	325
Moilik Computer	Md. Shahidullah Islam	16-0810-100476	0	120
Computer Programming	Abul Kashem Md. Shirin	16-0810-100477	2	110
Sorno Biporjoy	Kazi Anwar Hossain	10-0810-100478	1	175
Dongser Noksha	Kazi Anwar Hossain	10-0810-100479	4	280
Sopner Valobasa Nikhoj	Kazi Anwar Hossain	10-0810-100480	0	250
Podda Nodir Majhi_3	Manik Bondhopadday	01-0811-100842	13	225
Podda Nodir Majhi_4	Manik Bondhopadday	01-0811-100843	7	225
Soyale	Hasnat Abdul Hai	01-0811-100844	0	180
Din Jay Raat Jay	Somresh Mojumdar	01-0811-100845	3	285
Ayesha Mangal	Anisul Hoque	01-0811-100846	4	295
Osomporko	Sonali Islam	01-0811-100847	0	245
Bilasi	Sharat Chandra Chattropadhay	01-0811-100848	5	360
Parapar	Shirsendu Mukhupadday	01-0811-100849	7	300
Himu Rimande 2	Humayon Ahmed	01-0811-100850	18	395
Rupali Dip 2	Humayon Ahmed	01-0811-100851	15	355
Jolaronne Ekjon	Sunil Gango Paddahay	01-0811-100852	4	310
Debdash	Sharat Chandra Chattropadhay	01-0811-100853	12	250
Prothom Prem Prothom Bosonto	Shah Alam Saju	01-0811-100854	0	275
Ami Keno Islam Grohon Korlam	Abul Hosen 	12-0911-100855	4	285
Maien Camp	Adlof Hitlar	12-0911-100856	9	275
Anondo Uddan	Humayon Ahmed	02-0611-100646	0	375
Sejuti	Humayon Ahmed	02-0611-100647	8	350
Kolmilotay Masher Basa	Maulana Hifzur Rahman	02-0611-100648	0	170
Jala	A Furtan	10-0611-100649	0	280
Asroy	Muhammad Jafar Iqbal	10-0611-100650	5	350
Nazrul Rocona Boli 1	Kazi Nazrul Islam	05-0810-100001	1	300
Nazrul Rocona Boli 2	Kazi Nazrul Islam	05-0810-100002	1	300
Nazrul Rocona Boli 3	Kazi Nazrul Islam	05-0810-100003	1	275
Nazrul Rocona Boli 4	Kazi Nazrul Islam	05-0810-100004	1	275
Nazrul Rocona Boli 5	Kazi Nazrul Islam	05-0810-100005	1	275
Nazrul Rocona Boli 6	Kazi Nazrul Islam	05-0810-100006	1	275
